SMILES	QED	MW
CCOCc1cnc[nH]1	0.6543	126.16
CCc1n[nH]c(C)c1C	0.6047	124.19
COCc1ncc(C)o1	0.5969	127.14
CC(O)C1CC1CC#N	0.5959	125.17
CCC1OCC(CO)O1	0.5801	132.16
OCCC1C2C3CC2C13	0.5791	124.18
COc1n[nH]c(C)c1N	0.5702	127.15
Cc1ncc(O)cc1F	0.5683	127.12
CC(C)c1ccnn1C	0.5550	124.19
COCCC(=O)CC#N	0.5523	127.14
c1cc2c([nH]1)NCCO2	0.5369	124.14
CCOC(C=O)CCO	0.5343	132.16
CNc1nn(C)nc1N	0.5302	127.15
Nc1cc(C=O)c(N)o1	0.5284	126.11
CC1CC(C)(C2CN2)C1	0.5255	125.21
CC1COCCCC1O	0.5251	130.19
CCC1NC2COC12	0.5218	113.16
OCC12COC(CO1)C2	0.5215	130.14
Cn1cc(C#N)c(N)n1	0.5210	122.13
CC1=C(N)CC2(C)CC12	0.5204	123.20
CCC1OC2C(C#N)C12	0.5194	123.15
N#CCOC1C=CCC1	0.5175	123.15
Oc1cc(N2CC2)n[nH]1	0.5166	125.13
CC1COC(N)C2CC12	0.5161	127.19
CCC1=C(C=O)COC1	0.5142	126.15
c1onc2c1CCOC2	0.5128	125.13
CC12CCC(=O)C1(O)C2	0.5126	126.15
CC#CC(C)C(=O)CC	0.5112	124.18
OC1CCC2C3CC1C23	0.5109	124.18
O=Cc1cccc(=O)o1	0.5105	124.09
CC1C2CC1(C#N)C2O	0.5102	123.15
c1cc2n(c1)CCCO2	0.5064	123.15
CCC1CC(C)C12CC2	0.5039	124.23
CC12CC3OC1(C)C3N2	0.5018	125.17
OC1CC1(O)C(F)(F)F	0.5011	142.08
CC(O)C1C(=O)CC1O	0.4940	130.14
CC#Cc1ocnc1F	0.4865	125.10
O=C1CC2C(CO)C2O1	0.4859	128.13
CC1CC(CO)C12CN2	0.4859	127.19
Nc1cn(C=O)nc1O	0.4842	127.10
CC12CCC=CC1C2O	0.4829	124.18
CC1C2C(=O)NC3C1C32	0.4822	123.15
CC1CC2C(O)C=CC12	0.4808	124.18
C1=CC2OCNCC2C1	0.4761	125.17
CC#CC(C#CC)OC	0.4722	122.17
CC12C3CCOC1C2O3	0.4719	126.15
C1NC1C1C2C3CC3N12	0.4703	122.17
CCC12CCC=C1CC2	0.4690	122.21
CC1OCC(C)(O)C1O	0.4676	132.16
C#CCC1CC2(C)CC12	0.4645	120.19
