SMILES	QED	MW
CCOc1coc(O)c1	0.6539	128.13
CCNc1cc(C)co1	0.6537	125.17
CCc1cc(NC)co1	0.6525	125.17
CCNc1cnoc1C	0.6507	126.16
CCCc1nocc1N	0.6475	126.16
CCCc1coc(N)n1	0.6475	126.16
COCc1cc(N)co1	0.6445	127.14
CCCc1n[nH]c(C)n1	0.6419	125.17
CCOc1cc[nH]c1C	0.6392	125.17
CCCc1[nH]cnc1C	0.6379	124.19
CCCc1cc(C)n[nH]1	0.6379	124.19
CCCNc1ncc[nH]1	0.6375	125.17
CCC(N)n1ccnc1	0.6335	125.17
CCNCc1cnon1	0.6288	127.15
CNc1ccc(NC)o1	0.6279	126.16
CCCc1c[nH]c(O)n1	0.6223	126.16
CC(C)COCC(C)O	0.6190	132.20
CC(C)c1cc(N)no1	0.6180	126.16
CCC(CO)C(C)C#N	0.6180	127.19
CCCc1cc(N)[nH]n1	0.6178	125.17
