SMILES	QED	MW
Cc1cc(CCO)co1	0.6438	126.15
CC(C)Nc1cnno1	0.6406	127.15
CNc1nocc1OC	0.6372	128.13
CCc1nc(NC)no1	0.6341	127.15
c1n[nH]c(CC2CC2)n1	0.6303	123.16
CCOc1nc(C)n[nH]1	0.6294	127.15
CC(=O)Cc1cc[nH]c1	0.6282	123.15
CCOc1c[nH]c(=O)o1	0.6270	129.11
CCOc1c[nH]c(N)c1	0.6206	126.16
CCc1oc(N)cc1C	0.6204	125.17
CCCC(O)CC(C)=O	0.6190	130.19
CCCn1cc[nH]c1=O	0.6182	126.16
CC1CC(CCCO)O1	0.6156	130.19
CCc1ccc(O)nc1	0.6110	123.15
Cc1coc(C(C)N)n1	0.6104	126.16
CCC(C)CNC(C)=O	0.6085	129.20
O=C(CCO)C1CCC1	0.6083	128.17
CNc1c[nH]c(OC)n1	0.6064	127.15
COc1nc(C)oc1O	0.6059	129.12
CC(C)Oc1cnco1	0.6029	127.14
